variable,forecast_domain,reference_date,forecast_date,naive_2.5,naive_50,naive_97.5
msl,alaska,2011-11-04,2011-11-16,1322.496,1840.834,2422.372
msl,alaska,2011-11-04,2011-11-17,1426.298,1967.244,2519.309
msl,alaska,2011-11-04,2011-11-18,1126.337,1723.832,2332.695
msl,alaska,2011-11-06,2011-11-07,643.448,1024.049,1478.136
msl,alaska,2011-11-06,2011-11-08,806.798,1227.03,1768.923
msl,alaska,2011-11-06,2011-11-09,1364.236,1713.446,2055.613
msl,alaska,2011-11-06,2011-11-10,1198.887,1628.156,2118.296
msl,alaska,2011-11-06,2011-11-11,851.936,1153.05,1588.929
msl,alaska,2011-11-06,2011-11-12,1312.138,1837.226,2444.452
msl,alaska,2011-11-06,2011-11-13,1011.867,1460.536,1945.656
msl,alaska,2011-11-06,2011-11-14,724.659,1127.932,1617.079
msl,alaska,2011-11-06,2011-11-15,852.092,1365.194,1954.291
msl,alaska,2011-11-06,2011-11-16,1314.357,1869.922,2427.817
msl,alaska,2011-11-06,2011-11-17,1439.922,1984.509,2570.04
msl,alaska,2011-11-06,2011-11-18,1143.014,1735.617,2352.715
msl,alaska,2011-11-06,2011-11-19,944.748,1431.533,2032.524
msl,alaska,2011-11-06,2011-11-20,661.4,902.731,1356.403
msl,north_pacific,2004-10-06,2004-10-07,607.56,775.539,972.531
msl,north_pacific,2004-10-06,2004-10-08,702.415,889.069,1100.408
msl,north_pacific,2004-10-06,2004-10-09,657.685,871.542,1085.845
msl,north_pacific,2004-10-06,2004-10-10,681.851,898.527,1137.896
msl,north_pacific,2004-10-06,2004-10-11,666.868,911.417,1176.017
msl,north_pacific,2004-10-06,2004-10-12,652.785,882.842,1132.798
msl,north_pacific,2004-10-06,2004-10-13,689.066,858.314,1061.426
msl,north_pacific,2004-10-06,2004-10-14,957.854,1175.459,1394.505
msl,north_pacific,2004-10-06,2004-10-15,850.375,1048.573,1252.431
msl,north_pacific,2004-10-06,2004-10-16,755.925,930.861,1139.415
msl,north_pacific,2004-10-06,2004-10-17,764.598,941.7,1149.943
msl,north_pacific,2004-10-06,2004-10-18,733.563,904.7,1115.635
msl,north_pacific,2004-10-06,2004-10-19,919.008,1097.961,1317.297
msl,north_pacific,2004-10-06,2004-10-20,720.281,881.698,1099.666
msl,north_pacific,2004-10-08,2004-10-09,657.059,857.849,1101.585
msl,north_pacific,2004-10-08,2004-10-10,673.861,891.582,1132.878
msl,north_pacific,2004-10-08,2004-10-11,670.475,905.866,1198.743
msl,north_pacific,2004-10-08,2004-10-12,645.463,873.573,1158.551
msl,north_pacific,2004-10-08,2004-10-13,680.137,853.899,1047.398
msl,north_pacific,2004-10-08,2004-10-14,953.795,1173.333,1396.714
msl,north_pacific,2004-10-08,2004-10-15,847.039,1053.431,1269.62
msl,north_pacific,2004-10-08,2004-10-16,745.485,930.736,1138.797
msl,north_pacific,2004-10-08,2004-10-17,774.876,941.271,1152.466
msl,north_pacific,2004-10-08,2004-10-18,737.794,907.277,1107.433
msl,north_pacific,2004-10-08,2004-10-19,929.967,1096.006,1310.757
msl,north_pacific,2004-10-08,2004-10-20,737.099,879.044,1076.306
msl,north_pacific,2004-10-08,2004-10-21,646.206,785.821,984.774
msl,north_pacific,2004-10-08,2004-10-22,663.968,820.394,1006.364
msl,north_pacific,2011-11-04,2011-11-05,625.343,889.942,1211.472
msl,north_pacific,2011-11-04,2011-11-06,728.833,1019.192,1334.049
msl,north_pacific,2011-11-04,2011-11-07,736.03,980.082,1252.556
msl,north_pacific,2011-11-04,2011-11-08,796.427,1013.326,1228.7
msl,north_pacific,2011-11-04,2011-11-09,997.634,1225.51,1452.273
msl,north_pacific,2011-11-04,2011-11-10,873.956,1108.451,1379.95
msl,north_pacific,2011-11-04,2011-11-11,737.654,909.375,1134.927
msl,north_pacific,2011-11-04,2011-11-12,798.398,1009.004,1256.919
msl,north_pacific,2011-11-04,2011-11-13,688.43,884.871,1143.393
msl,north_pacific,2011-11-04,2011-11-14,589.715,791.556,998.998
msl,north_pacific,2011-11-04,2011-11-15,668.874,891.943,1117.765
msl,north_pacific,2011-11-04,2011-11-16,825.492,1044.466,1271.14
msl,north_pacific,2011-11-04,2011-11-17,856.15,1081.461,1318.413
msl,north_pacific,2011-11-04,2011-11-18,761.344,981.785,1244.854
msl,north_pacific,2011-11-06,2011-11-07,727.881,970.198,1257.165
msl,north_pacific,2011-11-06,2011-11-08,785.235,1003.576,1237.988
msl,north_pacific,2011-11-06,2011-11-09,1004.044,1219.314,1467.71
msl,north_pacific,2011-11-06,2011-11-10,858.838,1093.002,1395.464
msl,north_pacific,2011-11-06,2011-11-11,741.074,911.987,1133.943
msl,north_pacific,2011-11-06,2011-11-12,804.438,1000.056,1265.578
msl,north_pacific,2011-11-06,2011-11-13,674.998,880.364,1162.605
msl,north_pacific,2011-11-06,2011-11-14,584.269,782.496,1025.353
msl,north_pacific,2011-11-06,2011-11-15,668.825,878.141,1134.95
msl,north_pacific,2011-11-06,2011-11-16,820.911,1034.854,1289.646
msl,north_pacific,2011-11-06,2011-11-17,858.526,1071.275,1316.407
msl,north_pacific,2011-11-06,2011-11-18,758.652,967.754,1230.729
msl,north_pacific,2011-11-06,2011-11-19,734.063,924.709,1194.654
msl,north_pacific,2011-11-06,2011-11-20,607.99,769.162,1006.553
msl,northern_hs,2004-10-06,2004-10-07,668.167,784.116,934.489
msl,northern_hs,2004-10-06,2004-10-08,671.285,800.508,970.415
msl,northern_hs,2004-10-06,2004-10-09,658.876,785.476,939.799
msl,northern_hs,2004-10-06,2004-10-10,658.04,791.48,970.242
msl,northern_hs,2004-10-06,2004-10-11,689.494,812.348,981.717
msl,northern_hs,2004-10-06,2004-10-12,712.375,839.687,987.768
msl,northern_hs,2004-10-06,2004-10-13,755.294,873.645,1011.477
msl,northern_hs,2004-10-06,2004-10-14,835.046,978.85,1167.341
msl,northern_hs,2004-10-06,2004-10-15,818.002,943.867,1112.825
msl,northern_hs,2004-10-06,2004-10-16,785.94,901.437,1042.041
msl,northern_hs,2004-10-06,2004-10-17,837.162,968.845,1122.938
msl,northern_hs,2004-10-06,2004-10-18,841.75,981.34,1138.799
msl,northern_hs,2004-10-06,2004-10-19,855.663,979.16,1120.629
msl,northern_hs,2004-10-06,2004-10-20,719.192,820.237,959.446
msl,northern_hs,2004-10-08,2004-10-09,668.19,784.113,938.7
msl,northern_hs,2004-10-08,2004-10-10,661.062,792.944,961.277
msl,northern_hs,2004-10-08,2004-10-11,698.137,815.466,952.771
msl,northern_hs,2004-10-08,2004-10-12,713.248,834.475,963.339
msl,northern_hs,2004-10-08,2004-10-13,752.064,866.141,999.427
msl,northern_hs,2004-10-08,2004-10-14,834.821,977.887,1150.423
msl,northern_hs,2004-10-08,2004-10-15,819.053,944.393,1107.223
msl,northern_hs,2004-10-08,2004-10-16,779.582,907.169,1042.383
msl,northern_hs,2004-10-08,2004-10-17,843.56,976.497,1123.05
msl,northern_hs,2004-10-08,2004-10-18,847.119,983.634,1149.889
msl,northern_hs,2004-10-08,2004-10-19,852.174,978.0,1122.964
msl,northern_hs,2004-10-08,2004-10-20,712.449,823.97,962.462
msl,northern_hs,2004-10-08,2004-10-21,687.975,793.278,920.796
msl,northern_hs,2004-10-08,2004-10-22,674.833,794.526,925.064
msl,northern_hs,2011-11-04,2011-11-05,790.207,953.129,1154.356
msl,northern_hs,2011-11-04,2011-11-06,818.975,991.298,1224.177
msl,northern_hs,2011-11-04,2011-11-07,781.98,927.132,1110.207
msl,northern_hs,2011-11-04,2011-11-08,764.63,890.258,1040.845
msl,northern_hs,2011-11-04,2011-11-09,827.759,950.321,1090.369
msl,northern_hs,2011-11-04,2011-11-10,818.561,958.447,1129.39
msl,northern_hs,2011-11-04,2011-11-11,804.998,944.285,1096.436
msl,northern_hs,2011-11-04,2011-11-12,852.786,989.345,1148.198
msl,northern_hs,2011-11-04,2011-11-13,870.552,1016.584,1208.592
msl,northern_hs,2011-11-04,2011-11-14,801.151,946.477,1112.309
msl,northern_hs,2011-11-04,2011-11-15,720.783,856.062,1009.716
msl,northern_hs,2011-11-04,2011-11-16,721.197,859.023,996.043
msl,northern_hs,2011-11-04,2011-11-17,773.222,900.904,1055.489
msl,northern_hs,2011-11-04,2011-11-18,713.465,851.549,1008.928
msl,northern_hs,2011-11-06,2011-11-07,795.953,929.523,1121.475
msl,northern_hs,2011-11-06,2011-11-08,768.706,891.471,1036.304
msl,northern_hs,2011-11-06,2011-11-09,823.308,952.542,1098.814
msl,northern_hs,2011-11-06,2011-11-10,817.032,958.131,1131.703
msl,northern_hs,2011-11-06,2011-11-11,804.555,940.325,1111.158
msl,northern_hs,2011-11-06,2011-11-12,844.95,987.351,1141.998
msl,northern_hs,2011-11-06,2011-11-13,866.275,1020.095,1205.602
msl,northern_hs,2011-11-06,2011-11-14,802.529,953.004,1121.634
msl,northern_hs,2011-11-06,2011-11-15,718.254,859.926,1009.491
msl,northern_hs,2011-11-06,2011-11-16,726.084,853.586,995.66
msl,northern_hs,2011-11-06,2011-11-17,772.992,896.454,1048.999
msl,northern_hs,2011-11-06,2011-11-18,719.725,852.122,1011.964
msl,northern_hs,2011-11-06,2011-11-19,761.046,895.835,1061.994
msl,northern_hs,2011-11-06,2011-11-20,763.512,907.487,1069.871
msl,panarctic,2004-10-06,2004-10-07,801.439,1016.293,1290.245
msl,panarctic,2004-10-06,2004-10-08,832.855,1063.934,1368.203
msl,panarctic,2004-10-06,2004-10-09,875.304,1082.723,1378.151
msl,panarctic,2004-10-06,2004-10-10,841.647,1064.868,1402.408
msl,panarctic,2004-10-06,2004-10-11,850.759,1056.598,1371.957
msl,panarctic,2004-10-06,2004-10-12,907.384,1094.058,1338.96
msl,panarctic,2004-10-06,2004-10-13,936.454,1140.694,1377.767
msl,panarctic,2004-10-06,2004-10-14,1080.066,1326.579,1623.429
msl,panarctic,2004-10-06,2004-10-15,1049.227,1271.923,1545.211
msl,panarctic,2004-10-06,2004-10-16,964.432,1164.351,1426.632
msl,panarctic,2004-10-06,2004-10-17,1077.687,1305.408,1574.194
msl,panarctic,2004-10-06,2004-10-18,1080.523,1315.16,1596.765
msl,panarctic,2004-10-06,2004-10-19,1121.959,1322.504,1564.018
msl,panarctic,2004-10-06,2004-10-20,904.347,1070.61,1294.166
msl,panarctic,2004-10-08,2004-10-09,864.117,1077.865,1350.436
msl,panarctic,2004-10-08,2004-10-10,848.2,1066.273,1390.591
msl,panarctic,2004-10-08,2004-10-11,857.571,1065.187,1336.544
msl,panarctic,2004-10-08,2004-10-12,911.009,1105.116,1337.752
msl,panarctic,2004-10-08,2004-10-13,933.879,1137.821,1395.61
msl,panarctic,2004-10-08,2004-10-14,1059.346,1315.579,1650.832
msl,panarctic,2004-10-08,2004-10-15,1055.983,1263.847,1569.365
msl,panarctic,2004-10-08,2004-10-16,968.216,1171.191,1410.43
msl,panarctic,2004-10-08,2004-10-17,1076.131,1306.683,1575.105
msl,panarctic,2004-10-08,2004-10-18,1099.094,1315.349,1588.667
msl,panarctic,2004-10-08,2004-10-19,1126.442,1324.215,1576.272
msl,panarctic,2004-10-08,2004-10-20,877.275,1069.571,1277.76
msl,panarctic,2004-10-08,2004-10-21,829.969,1012.099,1217.153
msl,panarctic,2004-10-08,2004-10-22,785.986,984.929,1249.303
msl,panarctic,2011-11-04,2011-11-05,1023.868,1298.945,1647.837
msl,panarctic,2011-11-04,2011-11-06,1117.904,1403.824,1736.812
msl,panarctic,2011-11-04,2011-11-07,1016.022,1237.518,1550.422
msl,panarctic,2011-11-04,2011-11-08,956.99,1177.531,1445.828
msl,panarctic,2011-11-04,2011-11-09,1064.258,1282.438,1511.382
msl,panarctic,2011-11-04,2011-11-10,1067.555,1316.546,1580.1
msl,panarctic,2011-11-04,2011-11-11,1023.335,1271.826,1545.277
msl,panarctic,2011-11-04,2011-11-12,1102.742,1317.248,1545.84
msl,panarctic,2011-11-04,2011-11-13,1080.064,1319.773,1599.044
msl,panarctic,2011-11-04,2011-11-14,1024.11,1246.148,1489.281
msl,panarctic,2011-11-04,2011-11-15,900.994,1133.074,1371.06
msl,panarctic,2011-11-04,2011-11-16,890.586,1131.15,1375.271
msl,panarctic,2011-11-04,2011-11-17,940.65,1181.615,1459.271
msl,panarctic,2011-11-04,2011-11-18,862.207,1086.313,1357.592
msl,panarctic,2011-11-06,2011-11-07,1009.071,1243.94,1593.954
msl,panarctic,2011-11-06,2011-11-08,973.363,1180.869,1440.625
msl,panarctic,2011-11-06,2011-11-09,1068.503,1285.502,1536.516
msl,panarctic,2011-11-06,2011-11-10,1077.996,1313.563,1608.489
msl,panarctic,2011-11-06,2011-11-11,1044.309,1264.636,1549.858
msl,panarctic,2011-11-06,2011-11-12,1096.099,1315.655,1571.147
msl,panarctic,2011-11-06,2011-11-13,1081.685,1323.513,1647.267
msl,panarctic,2011-11-06,2011-11-14,1012.254,1249.351,1527.424
msl,panarctic,2011-11-06,2011-11-15,922.464,1132.009,1392.407
msl,panarctic,2011-11-06,2011-11-16,911.868,1127.772,1367.413
msl,panarctic,2011-11-06,2011-11-17,975.59,1176.197,1443.281
msl,panarctic,2011-11-06,2011-11-18,861.352,1081.443,1361.035
msl,panarctic,2011-11-06,2011-11-19,947.918,1183.425,1475.227
msl,panarctic,2011-11-06,2011-11-20,967.268,1219.285,1505.823
sst,alaska,2004-10-06,2004-10-07,0.739,1.154,2.391
sst,alaska,2004-10-06,2004-10-08,0.73,1.117,2.332
sst,alaska,2004-10-06,2004-10-09,0.725,1.092,2.263
sst,alaska,2004-10-06,2004-10-10,0.735,1.085,2.232
sst,alaska,2004-10-06,2004-10-11,0.75,1.089,2.213
sst,alaska,2004-10-06,2004-10-12,0.773,1.1,2.214
sst,alaska,2004-10-06,2004-10-13,0.791,1.11,2.194
sst,alaska,2004-10-06,2004-10-14,0.795,1.128,2.23
sst,alaska,2004-10-06,2004-10-15,0.8,1.15,2.281
sst,alaska,2004-10-06,2004-10-16,0.804,1.159,2.296
sst,alaska,2004-10-06,2004-10-17,0.784,1.157,2.327
sst,alaska,2004-10-06,2004-10-18,0.812,1.119,2.182
sst,alaska,2004-10-06,2004-10-19,0.788,1.103,2.185
sst,alaska,2004-10-06,2004-10-20,0.764,1.088,2.191
sst,alaska,2004-10-08,2004-10-09,0.727,1.082,2.251
sst,alaska,2004-10-08,2004-10-10,0.73,1.079,2.217
sst,alaska,2004-10-08,2004-10-11,0.743,1.074,2.196
sst,alaska,2004-10-08,2004-10-12,0.762,1.093,2.19
sst,alaska,2004-10-08,2004-10-13,0.766,1.104,2.201
sst,alaska,2004-10-08,2004-10-14,0.784,1.121,2.234
sst,alaska,2004-10-08,2004-10-15,0.793,1.138,2.273
sst,alaska,2004-10-08,2004-10-16,0.783,1.143,2.329
sst,alaska,2004-10-08,2004-10-17,0.759,1.128,2.349
sst,alaska,2004-10-08,2004-10-18,0.802,1.103,2.187
sst,alaska,2004-10-08,2004-10-19,0.78,1.083,2.17
sst,alaska,2004-10-08,2004-10-20,0.759,1.063,2.19
sst,alaska,2004-10-08,2004-10-21,0.744,1.052,2.182
sst,alaska,2004-10-08,2004-10-22,0.718,1.027,2.155
sst,alaska,2011-11-04,2011-11-05,0.562,0.922,2.27
sst,alaska,2011-11-04,2011-11-06,0.55,0.89,2.189
sst,alaska,2011-11-04,2011-11-07,0.582,0.957,2.285
sst,alaska,2011-11-04,2011-11-08,0.565,0.922,2.231
sst,alaska,2011-11-04,2011-11-09,0.62,0.923,2.144
sst,alaska,2011-11-04,2011-11-10,0.651,0.971,2.196
sst,alaska,2011-11-04,2011-11-11,0.674,0.976,2.154
sst,alaska,2011-11-04,2011-11-12,0.609,0.899,2.057
sst,alaska,2011-11-04,2011-11-13,0.594,0.899,2.134
sst,alaska,2011-11-04,2011-11-14,0.603,0.927,2.146
sst,alaska,2011-11-04,2011-11-15,0.581,0.931,2.182
sst,alaska,2011-11-04,2011-11-16,0.551,0.893,2.117
sst,alaska,2011-11-04,2011-11-17,0.579,0.92,2.123
sst,alaska,2011-11-04,2011-11-18,0.601,0.97,2.177
sst,alaska,2011-11-06,2011-11-07,0.58,0.955,2.231
sst,alaska,2011-11-06,2011-11-08,0.567,0.927,2.171
sst,alaska,2011-11-06,2011-11-09,0.625,0.941,2.086
sst,alaska,2011-11-06,2011-11-10,0.652,0.981,2.138
sst,alaska,2011-11-06,2011-11-11,0.671,0.988,2.113
sst,alaska,2011-11-06,2011-11-12,0.613,0.912,2.014
sst,alaska,2011-11-06,2011-11-13,0.59,0.919,2.094
sst,alaska,2011-11-06,2011-11-14,0.602,0.934,2.121
sst,alaska,2011-11-06,2011-11-15,0.576,0.933,2.166
sst,alaska,2011-11-06,2011-11-16,0.549,0.896,2.096
sst,alaska,2011-11-06,2011-11-17,0.568,0.918,2.075
sst,alaska,2011-11-06,2011-11-18,0.597,0.96,2.106
sst,alaska,2011-11-06,2011-11-19,0.609,0.958,2.078
sst,alaska,2011-11-06,2011-11-20,0.58,0.921,1.969
sst,north_pacific,2004-10-06,2004-10-07,0.683,0.91,1.789
sst,north_pacific,2004-10-06,2004-10-08,0.682,0.897,1.762
sst,north_pacific,2004-10-06,2004-10-09,0.685,0.888,1.751
sst,north_pacific,2004-10-06,2004-10-10,0.681,0.883,1.744
sst,north_pacific,2004-10-06,2004-10-11,0.669,0.876,1.73
sst,north_pacific,2004-10-06,2004-10-12,0.664,0.872,1.721
sst,north_pacific,2004-10-06,2004-10-13,0.659,0.876,1.718
sst,north_pacific,2004-10-06,2004-10-14,0.664,0.885,1.722
sst,north_pacific,2004-10-06,2004-10-15,0.674,0.898,1.719
sst,north_pacific,2004-10-06,2004-10-16,0.687,0.905,1.717
sst,north_pacific,2004-10-06,2004-10-17,0.687,0.909,1.719
sst,north_pacific,2004-10-06,2004-10-18,0.697,0.917,1.662
sst,north_pacific,2004-10-06,2004-10-19,0.696,0.915,1.659
sst,north_pacific,2004-10-06,2004-10-20,0.696,0.913,1.645
sst,north_pacific,2004-10-08,2004-10-09,0.667,0.899,1.67
sst,north_pacific,2004-10-08,2004-10-10,0.667,0.893,1.657
sst,north_pacific,2004-10-08,2004-10-11,0.658,0.888,1.646
sst,north_pacific,2004-10-08,2004-10-12,0.657,0.883,1.639
sst,north_pacific,2004-10-08,2004-10-13,0.654,0.882,1.635
sst,north_pacific,2004-10-08,2004-10-14,0.66,0.887,1.651
sst,north_pacific,2004-10-08,2004-10-15,0.673,0.901,1.662
sst,north_pacific,2004-10-08,2004-10-16,0.681,0.909,1.671
sst,north_pacific,2004-10-08,2004-10-17,0.68,0.911,1.671
sst,north_pacific,2004-10-08,2004-10-18,0.702,0.92,1.621
sst,north_pacific,2004-10-08,2004-10-19,0.699,0.918,1.625
sst,north_pacific,2004-10-08,2004-10-20,0.7,0.917,1.611
sst,north_pacific,2004-10-08,2004-10-21,0.696,0.916,1.612
sst,north_pacific,2004-10-08,2004-10-22,0.691,0.908,1.604
sst,north_pacific,2011-11-04,2011-11-05,0.652,0.903,1.628
sst,north_pacific,2011-11-04,2011-11-06,0.645,0.89,1.617
sst,north_pacific,2011-11-04,2011-11-07,0.691,0.931,1.636
sst,north_pacific,2011-11-04,2011-11-08,0.675,0.917,1.618
sst,north_pacific,2011-11-04,2011-11-09,0.719,0.964,1.638
sst,north_pacific,2011-11-04,2011-11-10,0.715,0.958,1.647
sst,north_pacific,2011-11-04,2011-11-11,0.687,0.939,1.624
sst,north_pacific,2011-11-04,2011-11-12,0.668,0.923,1.605
sst,north_pacific,2011-11-04,2011-11-13,0.716,0.971,1.641
sst,north_pacific,2011-11-04,2011-11-14,0.705,0.959,1.623
sst,north_pacific,2011-11-04,2011-11-15,0.689,0.955,1.617
sst,north_pacific,2011-11-04,2011-11-16,0.699,0.952,1.625
sst,north_pacific,2011-11-04,2011-11-17,0.697,0.949,1.596
sst,north_pacific,2011-11-04,2011-11-18,0.693,0.943,1.597
sst,north_pacific,2011-11-06,2011-11-07,0.685,0.939,1.564
sst,north_pacific,2011-11-06,2011-11-08,0.671,0.925,1.551
sst,north_pacific,2011-11-06,2011-11-09,0.717,0.968,1.574
sst,north_pacific,2011-11-06,2011-11-10,0.718,0.966,1.566
sst,north_pacific,2011-11-06,2011-11-11,0.703,0.949,1.556
sst,north_pacific,2011-11-06,2011-11-12,0.684,0.929,1.539
sst,north_pacific,2011-11-06,2011-11-13,0.733,0.98,1.552
sst,north_pacific,2011-11-06,2011-11-14,0.719,0.969,1.551
sst,north_pacific,2011-11-06,2011-11-15,0.713,0.963,1.542
sst,north_pacific,2011-11-06,2011-11-16,0.705,0.958,1.552
sst,north_pacific,2011-11-06,2011-11-17,0.711,0.956,1.547
sst,north_pacific,2011-11-06,2011-11-18,0.705,0.951,1.525
sst,north_pacific,2011-11-06,2011-11-19,0.704,0.947,1.528
sst,north_pacific,2011-11-06,2011-11-20,0.707,0.947,1.522
sst,northern_hs,2004-10-06,2004-10-07,0.664,0.845,1.527
sst,northern_hs,2004-10-06,2004-10-08,0.657,0.834,1.512
sst,northern_hs,2004-10-06,2004-10-09,0.658,0.831,1.527
sst,northern_hs,2004-10-06,2004-10-10,0.655,0.827,1.529
sst,northern_hs,2004-10-06,2004-10-11,0.652,0.824,1.518
sst,northern_hs,2004-10-06,2004-10-12,0.65,0.823,1.518
sst,northern_hs,2004-10-06,2004-10-13,0.656,0.828,1.523
sst,northern_hs,2004-10-06,2004-10-14,0.664,0.839,1.521
sst,northern_hs,2004-10-06,2004-10-15,0.674,0.851,1.52
sst,northern_hs,2004-10-06,2004-10-16,0.682,0.859,1.528
sst,northern_hs,2004-10-06,2004-10-17,0.681,0.859,1.519
sst,northern_hs,2004-10-06,2004-10-18,0.696,0.872,1.517
sst,northern_hs,2004-10-06,2004-10-19,0.693,0.867,1.52
sst,northern_hs,2004-10-06,2004-10-20,0.691,0.867,1.527
sst,northern_hs,2004-10-08,2004-10-09,0.651,0.83,1.516
sst,northern_hs,2004-10-08,2004-10-10,0.645,0.829,1.499
sst,northern_hs,2004-10-08,2004-10-11,0.644,0.826,1.487
sst,northern_hs,2004-10-08,2004-10-12,0.643,0.827,1.501
sst,northern_hs,2004-10-08,2004-10-13,0.645,0.83,1.502
sst,northern_hs,2004-10-08,2004-10-14,0.653,0.839,1.502
sst,northern_hs,2004-10-08,2004-10-15,0.66,0.848,1.506
sst,northern_hs,2004-10-08,2004-10-16,0.667,0.854,1.508
sst,northern_hs,2004-10-08,2004-10-17,0.663,0.854,1.506
sst,northern_hs,2004-10-08,2004-10-18,0.688,0.872,1.492
sst,northern_hs,2004-10-08,2004-10-19,0.685,0.87,1.498
sst,northern_hs,2004-10-08,2004-10-20,0.682,0.868,1.504
sst,northern_hs,2004-10-08,2004-10-21,0.684,0.87,1.507
sst,northern_hs,2004-10-08,2004-10-22,0.678,0.867,1.498
sst,northern_hs,2011-11-04,2011-11-05,0.658,0.849,1.477
sst,northern_hs,2011-11-04,2011-11-06,0.657,0.849,1.471
sst,northern_hs,2011-11-04,2011-11-07,0.677,0.864,1.49
sst,northern_hs,2011-11-04,2011-11-08,0.674,0.864,1.465
sst,northern_hs,2011-11-04,2011-11-09,0.704,0.895,1.482
sst,northern_hs,2011-11-04,2011-11-10,0.704,0.886,1.476
sst,northern_hs,2011-11-04,2011-11-11,0.687,0.873,1.467
sst,northern_hs,2011-11-04,2011-11-12,0.674,0.86,1.463
sst,northern_hs,2011-11-04,2011-11-13,0.709,0.891,1.475
sst,northern_hs,2011-11-04,2011-11-14,0.703,0.884,1.467
sst,northern_hs,2011-11-04,2011-11-15,0.698,0.879,1.472
sst,northern_hs,2011-11-04,2011-11-16,0.692,0.872,1.441
sst,northern_hs,2011-11-04,2011-11-17,0.687,0.87,1.45
sst,northern_hs,2011-11-04,2011-11-18,0.672,0.858,1.443
sst,northern_hs,2011-11-06,2011-11-07,0.681,0.872,1.501
sst,northern_hs,2011-11-06,2011-11-08,0.68,0.872,1.491
sst,northern_hs,2011-11-06,2011-11-09,0.706,0.901,1.506
sst,northern_hs,2011-11-06,2011-11-10,0.7,0.894,1.501
sst,northern_hs,2011-11-06,2011-11-11,0.691,0.881,1.484
sst,northern_hs,2011-11-06,2011-11-12,0.675,0.869,1.469
sst,northern_hs,2011-11-06,2011-11-13,0.71,0.898,1.482
sst,northern_hs,2011-11-06,2011-11-14,0.704,0.89,1.479
sst,northern_hs,2011-11-06,2011-11-15,0.703,0.886,1.471
sst,northern_hs,2011-11-06,2011-11-16,0.697,0.881,1.463
sst,northern_hs,2011-11-06,2011-11-17,0.698,0.876,1.454
sst,northern_hs,2011-11-06,2011-11-18,0.685,0.864,1.436
sst,northern_hs,2011-11-06,2011-11-19,0.682,0.862,1.439
sst,northern_hs,2011-11-06,2011-11-20,0.691,0.869,1.434
sst,panarctic,2004-10-06,2004-10-07,0.64,0.839,1.42
sst,panarctic,2004-10-06,2004-10-08,0.624,0.818,1.424
sst,panarctic,2004-10-06,2004-10-09,0.606,0.799,1.401
