variable,search_domain,forecast_domain,anomaly_search,reference_date,forecast_date,forecast_error
msl,alaska,alaska,True,2011-11-04,2011-11-07,829.658
msl,alaska,alaska,True,2011-11-04,2011-11-08,1130.584
msl,alaska,alaska,True,2011-11-04,2011-11-09,1824.461
msl,alaska,alaska,True,2011-11-04,2011-11-10,1862.367
msl,alaska,alaska,True,2011-11-04,2011-11-11,1300.011
msl,alaska,alaska,True,2011-11-04,2011-11-12,1823.096
msl,alaska,alaska,True,2011-11-04,2011-11-13,1122.355
msl,alaska,alaska,True,2011-11-04,2011-11-14,897.22
msl,alaska,alaska,True,2011-11-04,2011-11-15,1193.403
msl,alaska,alaska,True,2011-11-04,2011-11-16,1710.214
msl,alaska,alaska,True,2011-11-04,2011-11-17,2238.894
msl,alaska,alaska,True,2011-11-04,2011-11-18,2306.642
msl,alaska,alaska,True,2011-11-06,2011-11-07,606.18
msl,alaska,alaska,True,2011-11-06,2011-11-08,1213.638
msl,alaska,alaska,True,2011-11-06,2011-11-09,1541.606
msl,alaska,alaska,True,2011-11-06,2011-11-10,1372.352
msl,alaska,alaska,True,2011-11-06,2011-11-11,922.916
msl,alaska,alaska,True,2011-11-06,2011-11-12,1758.971
msl,alaska,alaska,True,2011-11-06,2011-11-13,1645.325
msl,alaska,alaska,True,2011-11-06,2011-11-14,1474.152
msl,alaska,alaska,True,2011-11-06,2011-11-15,1847.133
msl,alaska,alaska,True,2011-11-06,2011-11-16,2371.374
msl,alaska,alaska,True,2011-11-06,2011-11-17,2271.345
msl,alaska,alaska,True,2011-11-06,2011-11-18,1796.301
msl,alaska,alaska,True,2011-11-06,2011-11-19,1590.069
msl,alaska,alaska,True,2011-11-06,2011-11-20,861.71
msl,alaska,north_pacific,False,2004-10-06,2004-10-07,589.048
msl,alaska,north_pacific,False,2004-10-06,2004-10-08,711.542
msl,alaska,north_pacific,False,2004-10-06,2004-10-09,772.503
msl,alaska,north_pacific,False,2004-10-06,2004-10-10,897.264
msl,alaska,north_pacific,False,2004-10-06,2004-10-11,943.689
msl,alaska,north_pacific,False,2004-10-06,2004-10-12,943.149
msl,alaska,north_pacific,False,2004-10-06,2004-10-13,898.944
msl,alaska,north_pacific,False,2004-10-06,2004-10-14,1239.376
msl,alaska,north_pacific,False,2004-10-06,2004-10-15,1028.406
msl,alaska,north_pacific,False,2004-10-06,2004-10-16,890.606
msl,alaska,north_pacific,False,2004-10-06,2004-10-17,935.198
msl,alaska,north_pacific,False,2004-10-06,2004-10-18,857.127
msl,alaska,north_pacific,False,2004-10-06,2004-10-19,1123.387
msl,alaska,north_pacific,False,2004-10-06,2004-10-20,949.218
msl,alaska,north_pacific,False,2004-10-08,2004-10-09,464.332
msl,alaska,north_pacific,False,2004-10-08,2004-10-10,568.649
msl,alaska,north_pacific,False,2004-10-08,2004-10-11,723.524
msl,alaska,north_pacific,False,2004-10-08,2004-10-12,794.425
msl,alaska,north_pacific,False,2004-10-08,2004-10-13,1012.382
msl,alaska,north_pacific,False,2004-10-08,2004-10-14,1414.367
msl,alaska,north_pacific,False,2004-10-08,2004-10-15,1337.782
msl,alaska,north_pacific,False,2004-10-08,2004-10-16,1158.22
msl,alaska,north_pacific,False,2004-10-08,2004-10-17,1036.353
msl,alaska,north_pacific,False,2004-10-08,2004-10-18,1001.228
msl,alaska,north_pacific,False,2004-10-08,2004-10-19,1150.365
msl,alaska,north_pacific,False,2004-10-08,2004-10-20,832.796
msl,alaska,north_pacific,False,2004-10-08,2004-10-21,756.574
msl,alaska,north_pacific,False,2004-10-08,2004-10-22,854.855
msl,alaska,north_pacific,False,2011-11-04,2011-11-05,655.379
msl,alaska,north_pacific,False,2011-11-04,2011-11-06,853.598
msl,alaska,north_pacific,False,2011-11-04,2011-11-07,794.02
msl,alaska,north_pacific,False,2011-11-04,2011-11-08,938.294
msl,alaska,north_pacific,False,2011-11-04,2011-11-09,1238.241
msl,alaska,north_pacific,False,2011-11-04,2011-11-10,1150.753
msl,alaska,north_pacific,False,2011-11-04,2011-11-11,1010.779
msl,alaska,north_pacific,False,2011-11-04,2011-11-12,991.219
msl,alaska,north_pacific,False,2011-11-04,2011-11-13,791.222
msl,alaska,north_pacific,False,2011-11-04,2011-11-14,757.28
msl,alaska,north_pacific,False,2011-11-04,2011-11-15,842.789
msl,alaska,north_pacific,False,2011-11-04,2011-11-16,881.554
msl,alaska,north_pacific,False,2011-11-04,2011-11-17,1003.683
msl,alaska,north_pacific,False,2011-11-04,2011-11-18,1062.669
msl,alaska,north_pacific,False,2011-11-06,2011-11-07,692.848
msl,alaska,north_pacific,False,2011-11-06,2011-11-08,914.548
msl,alaska,north_pacific,False,2011-11-06,2011-11-09,1078.716
msl,alaska,north_pacific,False,2011-11-06,2011-11-10,936.262
msl,alaska,north_pacific,False,2011-11-06,2011-11-11,789.223
msl,alaska,north_pacific,False,2011-11-06,2011-11-12,919.43
msl,alaska,north_pacific,False,2011-11-06,2011-11-13,848.038
msl,alaska,north_pacific,False,2011-11-06,2011-11-14,900.5
msl,alaska,north_pacific,False,2011-11-06,2011-11-15,1062.722
msl,alaska,north_pacific,False,2011-11-06,2011-11-16,1228.343
msl,alaska,north_pacific,False,2011-11-06,2011-11-17,1161.51
msl,alaska,north_pacific,False,2011-11-06,2011-11-18,973.358
msl,alaska,north_pacific,False,2011-11-06,2011-11-19,899.246
msl,alaska,north_pacific,False,2011-11-06,2011-11-20,764.669
msl,alaska,north_pacific,True,2004-10-06,2004-10-07,694.249
msl,alaska,north_pacific,True,2004-10-06,2004-10-08,789.319
msl,alaska,north_pacific,True,2004-10-06,2004-10-09,798.31
msl,alaska,north_pacific,True,2004-10-06,2004-10-10,898.951
msl,alaska,north_pacific,True,2004-10-06,2004-10-11,950.462
msl,alaska,north_pacific,True,2004-10-06,2004-10-12,916.054
msl,alaska,north_pacific,True,2004-10-06,2004-10-13,741.841
msl,alaska,north_pacific,True,2004-10-06,2004-10-14,1109.547
msl,alaska,north_pacific,True,2004-10-06,2004-10-15,1010.67
msl,alaska,north_pacific,True,2004-10-06,2004-10-16,915.56
msl,alaska,north_pacific,True,2004-10-06,2004-10-17,946.158
msl,alaska,north_pacific,True,2004-10-06,2004-10-18,890.06
msl,alaska,north_pacific,True,2004-10-06,2004-10-19,1137.532
msl,alaska,north_pacific,True,2004-10-06,2004-10-20,970.201
msl,alaska,north_pacific,True,2004-10-08,2004-10-09,467.202
msl,alaska,north_pacific,True,2004-10-08,2004-10-10,642.683
msl,alaska,north_pacific,True,2004-10-08,2004-10-11,752.986
msl,alaska,north_pacific,True,2004-10-08,2004-10-12,774.996
msl,alaska,north_pacific,True,2004-10-08,2004-10-13,805.91
msl,alaska,north_pacific,True,2004-10-08,2004-10-14,1175.121
msl,alaska,north_pacific,True,2004-10-08,2004-10-15,1224.918
msl,alaska,north_pacific,True,2004-10-08,2004-10-16,1097.823
msl,alaska,north_pacific,True,2004-10-08,2004-10-17,1055.568
msl,alaska,north_pacific,True,2004-10-08,2004-10-18,1011.424
msl,alaska,north_pacific,True,2004-10-08,2004-10-19,1114.35
msl,alaska,north_pacific,True,2004-10-08,2004-10-20,796.251
msl,alaska,north_pacific,True,2004-10-08,2004-10-21,674.059
msl,alaska,north_pacific,True,2004-10-08,2004-10-22,715.407
msl,alaska,north_pacific,True,2011-11-04,2011-11-05,604.515
msl,alaska,north_pacific,True,2011-11-04,2011-11-06,736.246
msl,alaska,north_pacific,True,2011-11-04,2011-11-07,724.947
msl,alaska,north_pacific,True,2011-11-04,2011-11-08,1011.984
msl,alaska,north_pacific,True,2011-11-04,2011-11-09,1188.35
msl,alaska,north_pacific,True,2011-11-04,2011-11-10,1077.402
msl,alaska,north_pacific,True,2011-11-04,2011-11-11,845.758
msl,alaska,north_pacific,True,2011-11-04,2011-11-12,962.678
msl,alaska,north_pacific,True,2011-11-04,2011-11-13,765.81
msl,alaska,north_pacific,True,2011-11-04,2011-11-14,744.789
msl,alaska,north_pacific,True,2011-11-04,2011-11-15,857.62
msl,alaska,north_pacific,True,2011-11-04,2011-11-16,1051.332
msl,alaska,north_pacific,True,2011-11-04,2011-11-17,1249.303
msl,alaska,north_pacific,True,2011-11-04,2011-11-18,1247.648
msl,alaska,north_pacific,True,2011-11-06,2011-11-07,670.254
msl,alaska,north_pacific,True,2011-11-06,2011-11-08,1016.794
msl,alaska,north_pacific,True,2011-11-06,2011-11-09,1081.841
msl,alaska,north_pacific,True,2011-11-06,2011-11-10,852.77
msl,alaska,north_pacific,True,2011-11-06,2011-11-11,760.784
msl,alaska,north_pacific,True,2011-11-06,2011-11-12,959.886
msl,alaska,north_pacific,True,2011-11-06,2011-11-13,968.435
msl,alaska,north_pacific,True,2011-11-06,2011-11-14,1037.944
